"Component","File","Status","TotalReferenceFiles","ImportReferenceFiles","RenderReferenceFiles","LazyReferenceFiles","ReferenceFiles"
"Navbar","D:\ICP\itred-commerce-pos\src\components\Navbar.tsx","IMPORTED_NOT_RENDERED","1","1","0","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"AddBranchTerminalModal","D:\ICP\itred-commerce-pos\src\components\Branch\AddBranchTerminalModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"AddWarehouseModal","D:\ICP\itred-commerce-pos\src\components\Warehouse\AddWarehouseModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ApprovalsWorkspace","D:\ICP\itred-commerce-pos\src\components\Approvals\ApprovalsWorkspace.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"AuthView","D:\ICP\itred-commerce-pos\src\components\AuthView.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"BIAuditDashboard","D:\ICP\itred-commerce-pos\src\components\BI\BIAuditDashboard.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"BILossPreventionModal","D:\ICP\itred-commerce-pos\src\components\Inventory\BILossPreventionModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\components\Inventory\StocktakeWorkspace.tsx"
"BranchManagement","D:\ICP\itred-commerce-pos\src\components\Branch\BranchManagement.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"CloseShiftModal","D:\ICP\itred-commerce-pos\src\components\POS\CloseShiftModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ConsolePlanModal","D:\ICP\itred-commerce-pos\src\components\Billing\ConsolePlanModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\components\Billing\VendorBillingWorkspace.tsx"
"DeliveryDispatchModal","D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryDispatchModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"DeliveryFleetManagement","D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryFleetManagement.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"EODReportModal","D:\ICP\itred-commerce-pos\src\components\POS\EODReportModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"Financial","D:\ICP\itred-commerce-pos\src\components\Financial\Financial.tsx","RENDERED","12","1","1","0","D:\ICP\itred-commerce-pos\src\components\Billing\VendorBillingWorkspace.tsx; D:\ICP\itred-commerce-pos\src\components\POS\CloseShiftModal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\EODReportModal.tsx; D:\ICP\itred-commerce-pos\src\components\Reports\ReportsDashboard.tsx; D:\ICP\itred-commerce-pos\src\components\Settings\SettingsWorkspace.tsx; D:\ICP\itred-commerce-pos\src\components\Staff\StaffDesk.tsx; D:\ICP\itred-commerce-pos\src\components\Staff\StaffManagement.tsx; D:\ICP\itred-commerce-pos\src\components\Navbar.tsx; D:\ICP\itred-commerce-pos\src\components\Sidebar.tsx; D:\ICP\itred-commerce-pos\src\services\db.ts; D:\ICP\itred-commerce-pos\src\types\index.ts; D:\ICP\itred-commerce-pos\src\App.tsx"
"InvoiceModal","D:\ICP\itred-commerce-pos\src\components\Billing\InvoiceModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\components\Billing\VendorBillingWorkspace.tsx"
"Modal","D:\ICP\itred-commerce-pos\src\components\Common\Modal.tsx","RENDERED","25","16","16","0","D:\ICP\itred-commerce-pos\src\components\Auth\StaffAccessForm.tsx; D:\ICP\itred-commerce-pos\src\components\Billing\InvoiceModal.tsx; D:\ICP\itred-commerce-pos\src\components\Branch\AddBranchTerminalModal.tsx; D:\ICP\itred-commerce-pos\src\components\Branch\StockAdjustmentModal.tsx; D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryDispatchModal.tsx; D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryFleetManagement.tsx; D:\ICP\itred-commerce-pos\src\components\Delivery\PlanUpgradeModal.tsx; D:\ICP\itred-commerce-pos\src\components\Financial\Financial.tsx; D:\ICP\itred-commerce-pos\src\components\Inventory\BILossPreventionModal.tsx; D:\ICP\itred-commerce-pos\src\components\Inventory\StocktakeWorkspace.tsx; D:\ICP\itred-commerce-pos\src\components\POS\CloseShiftModal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\EODReportModal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\OpenShiftModal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\PaymentModal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\ReceiptModal.tsx; D:\ICP\itred-commerce-pos\src\components\Products\ProductModal.tsx; D:\ICP\itred-commerce-pos\src\components\Settings\SettingsWorkspace.tsx; D:\ICP\itred-commerce-pos\src\components\Staff\StaffManagement.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\AddWarehouseModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\ProductLedgerModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\ReceiveSupplierStockModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferReceiptModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferSlipModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferStockModal.tsx; D:\ICP\itred-commerce-pos\src\components\OnboardingModal.tsx"
"OfflineOperationalStateBadge","D:\ICP\itred-commerce-pos\src\components\Offline\OfflineOperationalStateBadge.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"OnboardingModal","D:\ICP\itred-commerce-pos\src\components\OnboardingModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"OpenShiftModal","D:\ICP\itred-commerce-pos\src\components\POS\OpenShiftModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"PaymentModal","D:\ICP\itred-commerce-pos\src\components\POS\PaymentModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"PlanUpgradeModal","D:\ICP\itred-commerce-pos\src\components\Delivery\PlanUpgradeModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"POSTerminal","D:\ICP\itred-commerce-pos\src\components\POS\POSTerminal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ProductImportModal","D:\ICP\itred-commerce-pos\src\components\Products\ProductImportModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ProductLedgerModal","D:\ICP\itred-commerce-pos\src\components\Warehouse\ProductLedgerModal.tsx","RENDERED","2","2","2","0","D:\ICP\itred-commerce-pos\src\components\Warehouse\ReceiveSupplierStockModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferStockModal.tsx"
"ProductManagement","D:\ICP\itred-commerce-pos\src\components\Products\ProductManagement.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ProductModal","D:\ICP\itred-commerce-pos\src\components\Products\ProductModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ReceiptModal","D:\ICP\itred-commerce-pos\src\components\POS\ReceiptModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ReceiveSupplierStockModal","D:\ICP\itred-commerce-pos\src\components\Warehouse\ReceiveSupplierStockModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ReportsDashboard","D:\ICP\itred-commerce-pos\src\components\Reports\ReportsDashboard.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ServiceOrderModal","D:\ICP\itred-commerce-pos\src\components\Billing\ServiceOrderModal.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\components\Billing\VendorBillingWorkspace.tsx"
"SettingsWorkspace","D:\ICP\itred-commerce-pos\src\components\Settings\SettingsWorkspace.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"Sidebar","D:\ICP\itred-commerce-pos\src\components\Sidebar.tsx","RENDERED","2","1","1","0","D:\ICP\itred-commerce-pos\src\components\Settings\SettingsWorkspace.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"StaffAccessForm","D:\ICP\itred-commerce-pos\src\components\Auth\StaffAccessForm.tsx","RENDERED","1","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
