
Component                    File                                                                              Status                TotalReferenceFiles ImportReferenceFiles RenderReferenceFiles LazyReferen
                                                                                                                                                                                                       ceFiles
---------                    ----                                                                              ------                ------------------- -------------------- -------------------- -----------
Navbar                       D:\ICP\itred-commerce-pos\src\components\Navbar.tsx                               IMPORTED_NOT_RENDERED                   1                    1                    0           0
AddBranchTerminalModal       D:\ICP\itred-commerce-pos\src\components\Branch\AddBranchTerminalModal.tsx        RENDERED                                1                    1                    1           0
AddWarehouseModal            D:\ICP\itred-commerce-pos\src\components\Warehouse\AddWarehouseModal.tsx          RENDERED                                1                    1                    1           0
ApprovalsWorkspace           D:\ICP\itred-commerce-pos\src\components\Approvals\ApprovalsWorkspace.tsx         RENDERED                                1                    1                    1           0
AuthView                     D:\ICP\itred-commerce-pos\src\components\AuthView.tsx                             RENDERED                                1                    1                    1           0
BIAuditDashboard             D:\ICP\itred-commerce-pos\src\components\BI\BIAuditDashboard.tsx                  RENDERED                                1                    1                    1           0
BILossPreventionModal        D:\ICP\itred-commerce-pos\src\components\Inventory\BILossPreventionModal.tsx      RENDERED                                1                    1                    1           0
BranchManagement             D:\ICP\itred-commerce-pos\src\components\Branch\BranchManagement.tsx              RENDERED                                1                    1                    1           0
CloseShiftModal              D:\ICP\itred-commerce-pos\src\components\POS\CloseShiftModal.tsx                  RENDERED                                1                    1                    1           0
ConsolePlanModal             D:\ICP\itred-commerce-pos\src\components\Billing\ConsolePlanModal.tsx             RENDERED                                1                    1                    1           0
DeliveryDispatchModal        D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryDispatchModal.tsx       RENDERED                                1                    1                    1           0
DeliveryFleetManagement      D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryFleetManagement.tsx     RENDERED                                1                    1                    1           0
EODReportModal               D:\ICP\itred-commerce-pos\src\components\POS\EODReportModal.tsx                   RENDERED                                1                    1                    1           0
Financial                    D:\ICP\itred-commerce-pos\src\components\Financial\Financial.tsx                  RENDERED                               12                    1                    1           0
