"Component","File","Status","TotalReferences","ImportReferences","RenderReferences","ReferenceFiles"
"Modal","D:\ICP\itred-commerce-pos\src\components\Common\Modal.tsx","IMPORTED_AND_RENDERED","383","39","2","D:\ICP\itred-commerce-pos\src\components\Auth\StaffAccessForm.tsx; D:\ICP\itred-commerce-pos\src\components\Billing\ConsolePlanModal.tsx; D:\ICP\itred-commerce-pos\src\components\Billing\InvoiceModal.tsx; D:\ICP\itred-commerce-pos\src\components\Billing\ServiceOrderModal.tsx; D:\ICP\itred-commerce-pos\src\components\Billing\VendorBillingWorkspace.tsx; D:\ICP\itred-commerce-pos\src\components\Branch\AddBranchTerminalModal.tsx; D:\ICP\itred-commerce-pos\src\components\Branch\BranchManagement.tsx; D:\ICP\itred-commerce-pos\src\components\Branch\StockAdjustmentModal.tsx; D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryDispatchModal.tsx; D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryFleetManagement.tsx; D:\ICP\itred-commerce-pos\src\components\Delivery\PlanUpgradeModal.tsx; D:\ICP\itred-commerce-pos\src\components\Financial\Financial.tsx; D:\ICP\itred-commerce-pos\src\components\Inventory\BILossPreventionModal.tsx; D:\ICP\itred-commerce-pos\src\components\Inventory\StocktakeWorkspace.tsx; D:\ICP\itred-commerce-pos\src\components\POS\CloseShiftModal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\EODReportModal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\OpenShiftModal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\PaymentModal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\POSTerminal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\ReceiptModal.tsx; D:\ICP\itred-commerce-pos\src\components\Products\ProductImportModal.tsx; D:\ICP\itred-commerce-pos\src\components\Products\ProductManagement.tsx; D:\ICP\itred-commerce-pos\src\components\Products\ProductModal.tsx; D:\ICP\itred-commerce-pos\src\components\Settings\SettingsWorkspace.tsx; D:\ICP\itred-commerce-pos\src\components\Staff\StaffManagement.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\AddWarehouseModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\ProductLedgerModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\ReceiveSupplierStockModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferReceiptModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferSlipModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferStockModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\WarehouseManagement.tsx; D:\ICP\itred-commerce-pos\src\components\Navbar.tsx; D:\ICP\itred-commerce-pos\src\components\OnboardingModal.tsx; D:\ICP\itred-commerce-pos\src\components\Sidebar.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"AddBranchTerminalModal","D:\ICP\itred-commerce-pos\src\components\Branch\AddBranchTerminalModal.tsx","IMPORTED_NOT_RENDERED","9","1","0","D:\ICP\itred-commerce-pos\src\components\Branch\BranchManagement.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"AddWarehouseModal","D:\ICP\itred-commerce-pos\src\components\Warehouse\AddWarehouseModal.tsx","IMPORTED_NOT_RENDERED","10","1","0","D:\ICP\itred-commerce-pos\src\components\Warehouse\WarehouseManagement.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"ApprovalsWorkspace","D:\ICP\itred-commerce-pos\src\components\Approvals\ApprovalsWorkspace.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"AuthView","D:\ICP\itred-commerce-pos\src\components\AuthView.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"BIAuditDashboard","D:\ICP\itred-commerce-pos\src\components\BI\BIAuditDashboard.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"BILossPreventionModal","D:\ICP\itred-commerce-pos\src\components\Inventory\BILossPreventionModal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\components\Inventory\StocktakeWorkspace.tsx"
"BranchManagement","D:\ICP\itred-commerce-pos\src\components\Branch\BranchManagement.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"CloseShiftModal","D:\ICP\itred-commerce-pos\src\components\POS\CloseShiftModal.tsx","IMPORTED_NOT_RENDERED","10","1","0","D:\ICP\itred-commerce-pos\src\components\POS\POSTerminal.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"ConsolePlanModal","D:\ICP\itred-commerce-pos\src\components\Billing\ConsolePlanModal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\components\Billing\VendorBillingWorkspace.tsx"
"DeliveryDispatchModal","D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryDispatchModal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"DeliveryFleetManagement","D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryFleetManagement.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"EODReportModal","D:\ICP\itred-commerce-pos\src\components\POS\EODReportModal.tsx","IMPORTED_NOT_RENDERED","7","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"Financial","D:\ICP\itred-commerce-pos\src\components\Financial\Financial.tsx","IMPORTED_NOT_RENDERED","23","1","0","D:\ICP\itred-commerce-pos\src\components\Billing\VendorBillingWorkspace.tsx; D:\ICP\itred-commerce-pos\src\components\POS\CloseShiftModal.tsx; D:\ICP\itred-commerce-pos\src\components\POS\EODReportModal.tsx; D:\ICP\itred-commerce-pos\src\components\Reports\ReportsDashboard.tsx; D:\ICP\itred-commerce-pos\src\components\Settings\SettingsWorkspace.tsx; D:\ICP\itred-commerce-pos\src\components\Staff\StaffDesk.tsx; D:\ICP\itred-commerce-pos\src\components\Staff\StaffManagement.tsx; D:\ICP\itred-commerce-pos\src\components\Navbar.tsx; D:\ICP\itred-commerce-pos\src\components\Sidebar.tsx; D:\ICP\itred-commerce-pos\src\services\db.ts; D:\ICP\itred-commerce-pos\src\types\index.ts; D:\ICP\itred-commerce-pos\src\App.tsx"
"InvoiceModal","D:\ICP\itred-commerce-pos\src\components\Billing\InvoiceModal.tsx","IMPORTED_NOT_RENDERED","8","1","0","D:\ICP\itred-commerce-pos\src\components\Billing\VendorBillingWorkspace.tsx"
"Navbar","D:\ICP\itred-commerce-pos\src\components\Navbar.tsx","IMPORTED_NOT_RENDERED","1","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"OfflineOperationalStateBadge","D:\ICP\itred-commerce-pos\src\components\Offline\OfflineOperationalStateBadge.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"OnboardingModal","D:\ICP\itred-commerce-pos\src\components\OnboardingModal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"OpenShiftModal","D:\ICP\itred-commerce-pos\src\components\POS\OpenShiftModal.tsx","IMPORTED_NOT_RENDERED","13","1","0","D:\ICP\itred-commerce-pos\src\components\POS\POSTerminal.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"PaymentModal","D:\ICP\itred-commerce-pos\src\components\POS\PaymentModal.tsx","IMPORTED_NOT_RENDERED","11","1","0","D:\ICP\itred-commerce-pos\src\components\POS\POSTerminal.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"PlanUpgradeModal","D:\ICP\itred-commerce-pos\src\components\Delivery\PlanUpgradeModal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"POSTerminal","D:\ICP\itred-commerce-pos\src\components\POS\POSTerminal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ProductImportModal","D:\ICP\itred-commerce-pos\src\components\Products\ProductImportModal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ProductLedgerModal","D:\ICP\itred-commerce-pos\src\components\Warehouse\ProductLedgerModal.tsx","IMPORTED_NOT_RENDERED","4","2","0","D:\ICP\itred-commerce-pos\src\components\Warehouse\ReceiveSupplierStockModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferStockModal.tsx"
"ProductManagement","D:\ICP\itred-commerce-pos\src\components\Products\ProductManagement.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ProductModal","D:\ICP\itred-commerce-pos\src\components\Products\ProductModal.tsx","IMPORTED_NOT_RENDERED","11","1","0","D:\ICP\itred-commerce-pos\src\components\Products\ProductManagement.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"ReceiptModal","D:\ICP\itred-commerce-pos\src\components\POS\ReceiptModal.tsx","IMPORTED_NOT_RENDERED","10","2","0","D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferReceiptModal.tsx; D:\ICP\itred-commerce-pos\src\components\Warehouse\WarehouseManagement.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"ReceiveSupplierStockModal","D:\ICP\itred-commerce-pos\src\components\Warehouse\ReceiveSupplierStockModal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ReportsDashboard","D:\ICP\itred-commerce-pos\src\components\Reports\ReportsDashboard.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"ServiceOrderModal","D:\ICP\itred-commerce-pos\src\components\Billing\ServiceOrderModal.tsx","IMPORTED_NOT_RENDERED","6","1","0","D:\ICP\itred-commerce-pos\src\components\Billing\VendorBillingWorkspace.tsx"
"SettingsWorkspace","D:\ICP\itred-commerce-pos\src\components\Settings\SettingsWorkspace.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"Sidebar","D:\ICP\itred-commerce-pos\src\components\Sidebar.tsx","IMPORTED_NOT_RENDERED","4","1","0","D:\ICP\itred-commerce-pos\src\components\Settings\SettingsWorkspace.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"StaffAccessForm","D:\ICP\itred-commerce-pos\src\components\Auth\StaffAccessForm.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"StaffDesk","D:\ICP\itred-commerce-pos\src\components\Staff\StaffDesk.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"StaffManagement","D:\ICP\itred-commerce-pos\src\components\Staff\StaffManagement.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"StockAdjustmentModal","D:\ICP\itred-commerce-pos\src\components\Branch\StockAdjustmentModal.tsx","IMPORTED_NOT_RENDERED","20","1","0","D:\ICP\itred-commerce-pos\src\components\Branch\BranchManagement.tsx; D:\ICP\itred-commerce-pos\src\components\POS\POSTerminal.tsx; D:\ICP\itred-commerce-pos\src\components\Navbar.tsx; D:\ICP\itred-commerce-pos\src\components\Sidebar.tsx; D:\ICP\itred-commerce-pos\src\App.tsx"
"StocktakeWorkspace","D:\ICP\itred-commerce-pos\src\components\Inventory\StocktakeWorkspace.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\components\Products\ProductManagement.tsx"
"TransferReceiptModal","D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferReceiptModal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\components\Warehouse\WarehouseManagement.tsx"
"TransferSlipModal","D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferSlipModal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\components\Warehouse\WarehouseManagement.tsx"
"TransferStockModal","D:\ICP\itred-commerce-pos\src\components\Warehouse\TransferStockModal.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"VendorBillingWorkspace","D:\ICP\itred-commerce-pos\src\components\Billing\VendorBillingWorkspace.tsx","IMPORTED_NOT_RENDERED","2","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
"WarehouseManagement","D:\ICP\itred-commerce-pos\src\components\Warehouse\WarehouseManagement.tsx","IMPORTED_NOT_RENDERED","3","1","0","D:\ICP\itred-commerce-pos\src\App.tsx"
