
Component                    File                                                                              Status                TotalReferences ImportReferences RenderReferences ReferenceFiles         
---------                    ----                                                                              ------                --------------- ---------------- ---------------- --------------         
Modal                        D:\ICP\itred-commerce-pos\src\components\Common\Modal.tsx                         IMPORTED_AND_RENDERED             383               39                2 D:\ICP\itred-commerc...
AddBranchTerminalModal       D:\ICP\itred-commerce-pos\src\components\Branch\AddBranchTerminalModal.tsx        IMPORTED_NOT_RENDERED               9                1                0 D:\ICP\itred-commerc...
AddWarehouseModal            D:\ICP\itred-commerce-pos\src\components\Warehouse\AddWarehouseModal.tsx          IMPORTED_NOT_RENDERED              10                1                0 D:\ICP\itred-commerc...
ApprovalsWorkspace           D:\ICP\itred-commerce-pos\src\components\Approvals\ApprovalsWorkspace.tsx         IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
AuthView                     D:\ICP\itred-commerce-pos\src\components\AuthView.tsx                             IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
BIAuditDashboard             D:\ICP\itred-commerce-pos\src\components\BI\BIAuditDashboard.tsx                  IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
BILossPreventionModal        D:\ICP\itred-commerce-pos\src\components\Inventory\BILossPreventionModal.tsx      IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
BranchManagement             D:\ICP\itred-commerce-pos\src\components\Branch\BranchManagement.tsx              IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
CloseShiftModal              D:\ICP\itred-commerce-pos\src\components\POS\CloseShiftModal.tsx                  IMPORTED_NOT_RENDERED              10                1                0 D:\ICP\itred-commerc...
ConsolePlanModal             D:\ICP\itred-commerce-pos\src\components\Billing\ConsolePlanModal.tsx             IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
DeliveryDispatchModal        D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryDispatchModal.tsx       IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
DeliveryFleetManagement      D:\ICP\itred-commerce-pos\src\components\Delivery\DeliveryFleetManagement.tsx     IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
EODReportModal               D:\ICP\itred-commerce-pos\src\components\POS\EODReportModal.tsx                   IMPORTED_NOT_RENDERED               7                1                0 D:\ICP\itred-commerc...
Financial                    D:\ICP\itred-commerce-pos\src\components\Financial\Financial.tsx                  IMPORTED_NOT_RENDERED              23                1                0 D:\ICP\itred-commerc...
InvoiceModal                 D:\ICP\itred-commerce-pos\src\components\Billing\InvoiceModal.tsx                 IMPORTED_NOT_RENDERED               8                1                0 D:\ICP\itred-commerc...
Navbar                       D:\ICP\itred-commerce-pos\src\components\Navbar.tsx                               IMPORTED_NOT_RENDERED               1                1                0 D:\ICP\itred-commerc...
OfflineOperationalStateBadge D:\ICP\itred-commerce-pos\src\components\Offline\OfflineOperationalStateBadge.tsx IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
OnboardingModal              D:\ICP\itred-commerce-pos\src\components\OnboardingModal.tsx                      IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
OpenShiftModal               D:\ICP\itred-commerce-pos\src\components\POS\OpenShiftModal.tsx                   IMPORTED_NOT_RENDERED              13                1                0 D:\ICP\itred-commerc...
PaymentModal                 D:\ICP\itred-commerce-pos\src\components\POS\PaymentModal.tsx                     IMPORTED_NOT_RENDERED              11                1                0 D:\ICP\itred-commerc...
PlanUpgradeModal             D:\ICP\itred-commerce-pos\src\components\Delivery\PlanUpgradeModal.tsx            IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
POSTerminal                  D:\ICP\itred-commerce-pos\src\components\POS\POSTerminal.tsx                      IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
ProductImportModal           D:\ICP\itred-commerce-pos\src\components\Products\ProductImportModal.tsx          IMPORTED_NOT_RENDERED               2                1                0 D:\ICP\itred-commerc...
