"MenuId","InAppRender","InSidebar","InSysadminGrant","Status"
"approvals","True","True","True","WIRED"
"bi_audit","True","True","True","WIRED"
"billing","True","True","True","WIRED"
"branches","True","True","True","WIRED"
"customers","True","True","True","WIRED"
"delivery","True","True","True","WIRED"
"desk","True","True","True","WIRED"
"financial","True","True","True","WIRED"
"pos","True","True","True","WIRED"
"products","True","True","True","WIRED"
"reports","True","True","True","WIRED"
"settings","True","True","True","WIRED"
"staff","True","True","True","WIRED"
"transfers","True","True","True","WIRED"
"warehouse","True","True","True","WIRED"
