"MenuId","InAppRender","InSidebar","Status"
"bi_governance","False","True","NAVIGATION_WITHOUT_RENDER_PATH"
"inventory_logistics","False","True","NAVIGATION_WITHOUT_RENDER_PATH"
"sales_desk","False","True","NAVIGATION_WITHOUT_RENDER_PATH"
"store_branch","False","True","NAVIGATION_WITHOUT_RENDER_PATH"
"branches","True","False","RENDERED_NOT_IN_NAVIGATION"
"desk","True","False","RENDERED_NOT_IN_NAVIGATION"
"financial","True","False","RENDERED_NOT_IN_NAVIGATION"
"warehouse","True","False","RENDERED_NOT_IN_NAVIGATION"
"approvals","True","True","WIRED"
"bi_audit","True","True","WIRED"
"billing","True","True","WIRED"
"delivery","True","True","WIRED"
"pos","True","True","WIRED"
"products","True","True","WIRED"
"reports","True","True","WIRED"
"settings","True","True","WIRED"
"staff","True","True","WIRED"
"transfers","True","True","WIRED"
