"MenuId","InAppRender","InSidebar","Status"
"bi_governance","False","True","NAVIGATION_WITHOUT_RENDER_PATH"
"inventory_logistics","False","True","NAVIGATION_WITHOUT_RENDER_PATH"
"sales_desk","False","True","NAVIGATION_WITHOUT_RENDER_PATH"
"store_branch","False","True","NAVIGATION_WITHOUT_RENDER_PATH"
"approvals","True","True","WIRED"
"bi_audit","True","True","WIRED"
"billing","True","True","WIRED"
"branches","True","True","WIRED"
"delivery","True","True","WIRED"
"desk","True","True","WIRED"
"financial","True","True","WIRED"
"pos","True","True","WIRED"
"products","True","True","WIRED"
"reports","True","True","WIRED"
"settings","True","True","WIRED"
"staff","True","True","WIRED"
"transfers","True","True","WIRED"
"warehouse","True","True","WIRED"
